City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,Lata,40.1629,-8.3327,48.72,70,0,4.03,PT,2022-02-09 02:28:29
160,Ilulissat,69.2167,-51.1,-5.78,65,94,27.63,GL,2022-02-09 02:28:29
161,Norsup,-16.0667,167.3833,81.21,81,100,29.24,VU,2022-02-09 02:28:29
162,Torbay,47.6666,-52.7314,31.75,92,100,19.57,CA,2022-02-09 02:28:30
163,Nemuro,43.3236,145.575,28.83,64,4,14.97,JP,2022-02-09 02:28:30
164,Solnechnyy,50.7214,136.6319,8.91,85,49,2.48,RU,2022-02-09 02:28:30
165,Mayumba,-3.432,10.6554,77.27,90,100,5.73,GA,2022-02-09 02:28:31
166,Zyryanka,65.75,150.85,-31.5,95,86,4.59,RU,2022-02-09 02:28:31
167,Iralaya,15.0,-83.2333,75.2,79,7,9.48,HN,2022-02-09 02:28:31
168,Chesterville,44.5512,-70.0862,34.47,97,98,9.04,US,2022-02-09 02:28:32
169,Namibe,-15.1961,12.1522,72.3,84,100,10.58,AO,2022-02-09 02:28:32
170,Auki,-8.7676,160.7034,77.58,92,100,7.72,SB,2022-02-09 02:28:32
171,Carnarvon,-24.8667,113.6333,87.87,42,0,9.22,AU,2022-02-09 02:28:33
172,Xixiang,35.1628,112.865,41.22,51,100,4.72,CN,2022-02-09 02:28:33
173,Hervey Bay,-25.2986,152.8535,84.31,53,8,13.65,AU,2022-02-09 02:28:33
174,Meulaboh,4.1363,96.1285,77.58,85,98,5.77,ID,2022-02-09 02:28:33
175,Yakovlevo,50.8603,36.4478,28.65,88,100,7.61,RU,2022-02-09 02:28:34
176,Saint-Georges,12.0564,-61.7485,76.68,78,20,11.5,GD,2022-02-09 02:28:34
177,Padang,-0.9492,100.3543,79.45,70,99,4.54,ID,2022-02-09 02:28:35
178,Calvinia,-31.4707,19.776,69.98,26,0,5.01,ZA,2022-02-09 02:28:35
179,Guerrero Negro,27.9769,-114.0611,64.04,56,11,11.79,MX,2022-02-09 02:28:35
