City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
629,Tra Vinh,VN,79.27,broken clouds,9.9347,106.3453,Hồng Ân
632,Grand Gaube,MU,74.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
636,Gorontalo,ID,79.61,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
644,Dunedin,NZ,61.95,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
646,Sapele,NG,77.68,few clouds,5.8941,5.6767,Movig Hotel & Suites
651,Manta,EC,74.97,overcast clouds,-0.95,-80.7333,Balandra Hotel
653,Itatiaia,BR,67.73,overcast clouds,-22.4961,-44.5633,La Ponsa
657,Kendari,ID,75.09,light rain,-3.945,122.4989,Hotel Wixel
660,Beruwala,LK,74.26,overcast clouds,6.4788,79.9828,The Palms Hotel
664,Ballina,AU,77.77,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
670,Paita,PE,77.56,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
673,La Brea,HN,70.39,overcast clouds,15.8,-85.9667,Hotel reynita
674,Amarante Do Maranhao,BR,72.32,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
675,Iquique,CL,67.53,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
685,Mayor Pablo Lagerenza,PY,78.13,clear sky,-19.9309,-60.7718,
686,Rocha,UY,62.67,clear sky,-34.4833,-54.3333,Hotel Arrarte
689,Matara,LK,74.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
692,Galle,LK,77.74,overcast clouds,6.0367,80.217,Amangalla
694,Jequie,BR,72.48,few clouds,-13.8575,-40.0836,Itajuba Hotel
695,Duncan,US,62.82,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
700,Braganca,BR,73.38,broken clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
701,San Carlos De Bariloche,AR,64.15,clear sky,-41.1456,-71.3082,Hotel Patagonia
703,Kuching,MY,75.42,light rain,1.55,110.3333,The Ranee Boutique Suites
705,Razole,IN,64.42,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
707,Qandala,SO,72.16,broken clouds,11.472,49.8728,
711,Saint-Joseph,RE,73.78,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
714,Sao Jose Da Coroa Grande,BR,79.7,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
717,Samastipur,IN,60.76,overcast clouds,25.85,85.7833,Hotel Madanlok
719,Sur,OM,67.44,clear sky,22.5667,59.5289,Sur Plaza Hotel
720,Araouane,ML,66.04,clear sky,18.9048,-3.5265,
